LGAs,Demand 2002,Demand 2003,Demand 2004
Albury,47383,52121,57333
Armidale,29135,32049,35254
Ballina,39583,43541,47895
Balranald,2861,3147,3462
Bathurst,37111,40822,44904
Bayside (NSW),136822,150504,165554
Bega Valley,31777,34955,38451
Bellingen,13160,14476,15924
Berrigan,8405,9246,10171
Blacktown,284459,312905,344195
Bland,6872,7559,8315
Blayney,6741,7416,8157
Blue Mountains,80486,88535,97388
Bogan,3283,3611,3972
Bourke,4077,4484,4933
Brewarrina,2234,2457,2703
Broken Hill,21828,24011,26412
Burwood,31744,34918,38410
Byron,30758,33833,37217
Cabonne,12965,14261,15688
Camden,47280,52008,57208
Campbelltown (NSW),158615,174477,191925
Canada Bay,65001,71501,78651
Canterbury-Bankstown,334719,368191,405010
Carrathool,3422,3764,4141
Central Coast (NSW),319972,351970,387167
Central Darling,2529,2782,3061
Cessnock,49025,53928,59321
Clarence Valley,50527,55580,61138
Cobar,5192,5711,6282
Coffs Harbour,65681,72249,79474
Coolamon,4255,4680,5148
Coonamble,4991,5490,6039
Cootamundra-Gundagai,11869,13056,14362
Cowra,13531,14884,16372
Cumberland,182613,200874,220962
Dubbo,49398,54337,59771
Dungog,8680,9547,10502
Edward River,10489,11538,12692
Eurobodalla,35151,38666,42533
Fairfield,200839,220923,243015
Federation,12625,13887,15276
Forbes,10477,11525,12677
Georges River,133260,146586,161245
Gilgandra,4953,5449,5994
Glen Innes Severn,9180,10098,11108
Goulburn Mulwaree,27558,30313,33345
Greater Hume,10887,11975,13173
Griffith,25474,28021,30823
Gunnedah,12818,14100,15510
Gwydir,5948,6543,7197
Hawkesbury,65501,72051,79256
Hay,3766,4142,4556
Hilltops,18779,20657,22723
Hornsby,140680,154748,170222
Hunters Hill,13851,15236,16760
Inner West,177687,195456,215001
Inverell,17494,19243,21168
Junee,6097,6706,7377
Kempsey,28357,31193,34312
Kiama,20640,22703,24974
Ku-ring-gai,113011,124313,136744
Kyogle,10140,11154,12269
Lachlan,7964,8760,9636
Lake Macquarie,199222,219144,241058
Lane Cove,33304,36635,40298
Leeton,12323,13556,14911
Lismore,44703,49173,54090
Lithgow,21328,23461,25807
Liverpool,168233,185057,203562
Liverpool Plains,8303,9134,10047
Lockhart,3693,4062,4468
Maitland,58773,64651,71116
Mid-Coast,85557,94112,103524
Mid-Western,22952,25247,27772
Moree Plains,16788,18466,20313
Mosman,28898,31788,34967
Murray River,11452,12597,13857
Murrumbidgee,4732,5205,5725
Muswellbrook,15734,17307,19038
Nambucca Valley,18792,20671,22738
Narrabri,15027,16529,18182
Narrandera,6958,7654,8419
Narromine,7348,8083,8891
Newcastle,149729,164702,181172
North Sydney,61187,67306,74036
Northern Beaches,247263,271989,299188
Oberon,5470,6017,6618
Orange,38369,42205,46426
Parkes,15554,17109,18820
Parramatta,181411,199552,219508
Penrith,188170,206987,227685
Port Macquarie-Hastings,68201,75022,82524
Port Stephens,61369,67506,74256
Queanbeyan-Palerang,46354,50990,56089
Randwick,131835,145018,159520
Richmond Valley,21917,24108,26519
Ryde,103953,114349,125784
Shellharbour,62294,68523,75376
Shoalhaven,91490,100639,110703
Singleton,21971,24168,26585
Snowy Monaro,20270,22297,24527
Snowy Valleys,15718,17290,19019
Strathfield,30548,33603,36963
Sutherland,228005,250805,275886
Sydney,136634,150297,165327
Tamworth,56133,61746,67921
Temora,6544,7198,7918
Tenterfield,7121,7833,8616
The Hills,124123,136535,150189
Tweed,77777,85554,94110
Upper Hunter,13991,15390,16929
Upper Lachlan,7504,8254,9080
Uralla,6298,6927,7620
Wagga Wagga,59011,64912,71404
Walcha,3414,3755,4131
Walgett,8599,9459,10405
Warren,3425,3768,4145
Warrumbungle,11207,12328,13560
Waverley,65968,72565,79822
Weddin,3980,4378,4816
Wentworth,7448,8193,9012
Willoughby,64428,70871,77958
Wingecarribee,44348,48783,53661
Wollondilly,39922,43914,48305
Wollongong,201334,221467,243614
Woollahra,55203,60724,66796
Yass Valley,12501,13751,15126
